link_seq,from_stop_id,to_stop_id,tt_mean,tt_std,tt_cv,tt_count,spacing_m
0,11991,14537,185.80550938019474,95.46946846541789,0.513813980994872,4211,446.863521509482
1,14537,14538,32.16686390532544,20.775206947440545,0.6458573956288312,4225,206.00114318522657
2,14538,14539,58.860382707299784,31.876165185642197,0.5415555203600292,4233,274.34676716823935
3,14539,16098,131.19895907262836,38.423419006074994,0.29286374890219047,4227,524.9039277597476
4,16098,2066,26.780470588235293,29.47754121957609,1.1007103524359136,4250,91.33247535096947
5,2066,9739,40.83387927000468,27.40071135904883,0.6710288576274592,4274,161.902402128946
6,9739,2081,43.729799159271366,36.32343990173042,0.8306335862516604,4282,210.21765171666084
7,2081,2014,62.0088433791017,31.819752716371084,0.5131486249765307,4297,288.49892043153994
8,2014,2057,33.52749301025163,12.708203189182589,0.37903827719229793,4292,252.46601933933448
9,2057,2043,62.17544268406338,35.86415269505034,0.5768218310449269,4292,318.1707757306699
10,2043,2033,70.51392757660167,26.34437401679891,0.37360525675130096,4308,394.3689225242009
11,2033,2098,43.2160407974038,18.675717839310668,0.43214782045542244,4314,257.67162209787585
12,2098,2040,38.25313516024152,23.354362927570765,0.6105215384239714,4306,210.5144220321775
13,2040,2020,117.96022330774599,65.41090046770992,0.5545165873165538,4299,376.08579966798465
14,2020,2088,46.489213639526795,16.741277109751337,0.3601109977802959,4311,311.26744451876004
15,2088,15197,48.07658389417498,21.17700049316244,0.4404847178779745,4309,333.1826736252885
16,15197,2045,52.27584608252202,27.272485891567072,0.5217033856996797,4314,294.93630204710433
17,2045,2022,54.391647331786544,28.278399548372494,0.5199033479511213,4310,240.4215389475507
18,2022,2038,80.30357142857143,37.30113939278534,0.4645016246377538,4312,357.0872050319299
19,2038,2018,41.08315960157517,21.450511754239702,0.5221241979016937,4317,237.12382691373443
20,2018,2093,54.98934691987031,23.941126877480368,0.43537754526103095,4318,272.3467730510429
21,2093,15199,52.88351088466883,22.935318129288724,0.43369507329623563,4318,262.0155692914721
22,15199,10092,41.718626768731156,20.912377657117116,0.5012719563624589,4311,258.9103469324266
23,10092,2082,70.95856610800745,42.444936937838605,0.5981650879646063,4296,369.33830342081154
24,2082,2048,40.58622305529522,21.547279998861654,0.5309013349063141,4268,159.54588876266288
25,2048,15058,27.504563538497543,9.308590141580147,0.33843802424099967,4273,193.94322778231123
26,15058,2052,36.76008442776735,13.602975747371651,0.3700474566129237,4264,261.2314979788111
27,2052,2065,27.355529411764707,12.623536828348762,0.4614619822681917,4250,146.26411057496622
28,2065,2062,46.38866682341877,22.742828533493352,0.4902669141164433,4253,321.06565770764803
29,2062,16367,26.723650082527705,15.420429645354892,0.5770330623898187,4241,88.69608948062795
30,16367,15758,22.346516007532955,17.24407487527118,0.7716672643493172,4248,135.2087502599853
31,15758,15470,28.139812646370025,13.529779686231283,0.4808056064998924,4270,121.94059806957802
32,15470,2025,61.8953542937588,35.13136686511855,0.5675929521040162,4262,320.4472572082992
33,2025,10262,51.24048849224988,26.309115186189405,0.513443879251242,4258,183.35236354238253
34,10262,2095,26.66807710390221,14.66922962793071,0.5500670172347835,4254,139.32249009541516
35,2095,2053,50.941204139228596,17.04132619967713,0.3345293164468803,4252,385.0837327677756
36,2053,2055,36.45638849599246,16.23007498716727,0.445191519421936,4242,226.37016642858651
37,2055,15469,35.56312056737589,20.257053728921854,0.5696084428402164,4230,177.78213023570598
38,15469,2029,39.97438330170778,22.856451484675212,0.5717774633861266,4216,246.19766339918473
39,2029,2069,61.21866096866097,40.09825741529801,0.6550005632404323,4212,204.32156589176236
40,2069,2037,37.30351805012646,45.14042119447884,1.210084827222504,4349,179.06173096274316
41,2037,2027,35.25588371019843,49.56113239901177,1.4057549317555547,4334,217.271415319935
42,2027,2091,61.388914764788076,65.41114840028223,1.0655205202910878,4294,267.8397620275018
43,2091,982,55.796590378327885,43.243091029649236,0.7750131457216319,4282,219.28266580383158
44,982,985,41.866290018832395,29.793750056633968,0.7116405595822336,4248,309.3466581297781
45,985,979,36.19815340909091,32.457141801066385,0.896651866029028,4224,163.63110542364257
46,979,2104,62.97502401536984,28.875661792972426,0.4585256178056393,4164,429.34107290517323
47,2104,2108,22.688611244593947,12.382632752739116,0.5457642435338367,4162,167.1365103727002
